Area name,"0-4
","5-9
","10-14
","15-19
","20-24
","25-29
",30-34,"35-39
","40-44
","45-49
","50-54
","55-59
","60-64
","65-69
","70-74
","75-79
","80-84
","85-89
","90+
"
Merseyside ,75600,80400,79600,82700,95900,93300,98200,91200,80900,83600,96400,101300,90900,76400,73000,51000,38100,22900,11900
South Yorkshire ,75200,80500,81600,80300,93600,93300,95600,87800,79200,82900,96300,93100,81100,68800,68200,50600,35300,20900,10800
West Yorkshire,139400,150600,152300,145900,157600,157300,165300,159700,147900,147600,158000,149100,128500,108100,107700,74100,53000,32100,17500
West Midlands ,182000,198600,200000,196100,204900,197100,208200,200000,185700,178800,190800,175200,147300,122300,115000,89000,65400,40700,22500
Greater Manchester ,173400,187100,188900,175000,189900,202700,213000,202500,182800,177900,189100,179800,151200,125400,125100,88600,61700,35100,18500
Kent,87300,95300,98200,88300,83400,90700,100600,99500,97600,101300,111700,109700,93200,81500,87700,64100,44000,26600,15400
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,