,,,,DESCRIPTIVE STATISTICS OF ALL RAILWAYS‟ MARKET INDEX BY YEAR 1843-50,,,,,,,,,
,1843,1844,1845,1846,1847,1848,1849,1850,,,,,
Obvs,29509,34595,59942,84638,67856,64228,60552,47846,,,,,
Total Market Par Value (m),41.5,42.6,54.4,74.9,101,129,146,141,,,,,
"INDEX (Jan 1, 1843=1000)",1215.1,1449.5,1883,1736,1260.4,975.9,761.4,857.4,,,,,
Daily Index Returns (Mean),0.06%,0.06%,0.09%,-0.03%,-0.10%,-0.08%,-0.08%,0.04%,,,,,
Total Market Capitalization (£ m),47.4,60.6,96,108,117,107,107,88.3,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,